source_id,data_split,img_fn,label_fn
0,train_test_val_1,public_unet_skyrmion_dataset/images/000000.png,public_unet_skyrmion_dataset/labels/000000.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000001.png,public_unet_skyrmion_dataset/labels/000001.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000002.png,public_unet_skyrmion_dataset/labels/000002.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000003.png,public_unet_skyrmion_dataset/labels/000003.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000004.png,public_unet_skyrmion_dataset/labels/000004.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000005.png,public_unet_skyrmion_dataset/labels/000005.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000006.png,public_unet_skyrmion_dataset/labels/000006.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000007.png,public_unet_skyrmion_dataset/labels/000007.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000008.png,public_unet_skyrmion_dataset/labels/000008.png
0,train_test_val_1,public_unet_skyrmion_dataset/images/000009.png,public_unet_skyrmion_dataset/labels/000009.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000010.png,public_unet_skyrmion_dataset/labels/000010.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000011.png,public_unet_skyrmion_dataset/labels/000011.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000012.png,public_unet_skyrmion_dataset/labels/000012.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000013.png,public_unet_skyrmion_dataset/labels/000013.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000014.png,public_unet_skyrmion_dataset/labels/000014.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000015.png,public_unet_skyrmion_dataset/labels/000015.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000016.png,public_unet_skyrmion_dataset/labels/000016.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000017.png,public_unet_skyrmion_dataset/labels/000017.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000018.png,public_unet_skyrmion_dataset/labels/000018.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000019.png,public_unet_skyrmion_dataset/labels/000019.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000020.png,public_unet_skyrmion_dataset/labels/000020.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000021.png,public_unet_skyrmion_dataset/labels/000021.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000022.png,public_unet_skyrmion_dataset/labels/000022.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000023.png,public_unet_skyrmion_dataset/labels/000023.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000024.png,public_unet_skyrmion_dataset/labels/000024.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000025.png,public_unet_skyrmion_dataset/labels/000025.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000026.png,public_unet_skyrmion_dataset/labels/000026.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000027.png,public_unet_skyrmion_dataset/labels/000027.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000028.png,public_unet_skyrmion_dataset/labels/000028.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000029.png,public_unet_skyrmion_dataset/labels/000029.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000030.png,public_unet_skyrmion_dataset/labels/000030.png
1,train_test_val_2,public_unet_skyrmion_dataset/images/000031.png,public_unet_skyrmion_dataset/labels/000031.png
